start_station_name,member_casual,rides_total,avg_trip_duration,max_trip_duration,min_trip_duration
Ashland Ave & Blackhawk St,member,5672,12.776622002820876,591,1
Damen Ave & Thomas St (Augusta Blvd),member,5665,12.334686672550749,655,1
Southport Ave & Clybourn Ave,member,5654,12.180226388397593,536,1
Western Ave & Leland Ave,member,5637,11.690438176334929,591,1
Cityfront Plaza Dr & Pioneer Ct,casual,5605,32.608028545941124,1313,1
Southport Ave & Irving Park Rd,member,5592,9.3841201716738212,1050,1
Mies van der Rohe Way & Chestnut St,casual,5587,29.590298908179705,1287,1
Wood St & Chicago Ave,member,5586,11.434300035803796,425,1
Orleans St & Merchandise Mart Plaza,casual,5571,17.45180398492192,1180,1
Wood St & Taylor St (Temp),member,5569,11.011312623451246,475,1
Halsted St & Dickens Ave,casual,5552,16.279538904899137,1007,1
Racine Ave & Belmont Ave,casual,5551,15.787425689065035,1420,1
Green St & Madison St,casual,5540,16.491696750902523,817,1
Canal St & Adams St,casual,5516,18.467186366932562,1408,1
Daley Center Plaza,casual,5504,21.396438953488378,1427,1
Milwaukee Ave & Grand Ave,casual,5503,14.944212247864801,1344,1
Elizabeth St & Randolph St,member,5499,9.52482269503546,883,1
Lincoln Park Conservatory,member,5495,15.462056414922657,344,1
Sangamon St & Washington Blvd,member,5491,10.481515206701875,1314,1
Franklin St & Jackson Blvd,casual,5481,24.546068235723407,1368,1
Clinton St & Jackson Blvd,casual,5470,17.448446069469838,1262,1
Broadway & Berwyn Ave,member,5457,11.973978376397287,739,1
Racine Ave & Wrightwood Ave,member,5425,10.21585253456221,709,1
Clark St & Winnemac Ave,casual,5422,14.983032091479158,1387,1
Green St & Washington Blvd,member,5418,11.664267257290513,816,1
Lakefront Trail & Bryn Mawr Ave,casual,5389,36.418444980515865,1310,1
Kedzie Ave & Milwaukee Ave,casual,5373,19.523171412618645,1216,1
Michigan Ave & Jackson Blvd,member,5363,13.723102741003171,779,1
Burnham Harbor,member,5333,25.008438027376712,449,1
Pine Grove Ave & Irving Park Rd,casual,5329,20.957027584912744,1356,1
Rush St & Cedar St,casual,5304,22.775263951734544,1147,1
Michigan Ave & Pearson St,member,5293,14.466276213867371,1426,1
Ashland Ave & Augusta Blvd,member,5293,12.483657661061779,477,1
Federal St & Polk St,casual,5285,20.097824030274364,875,1
Halsted St & Fulton St,casual,5278,16.848048503220916,1127,1
Larrabee St & North Ave,member,5278,10.78249336870026,806,1
Damen Ave & Division St,member,5271,11.769493454752418,587,1
Canal St & Madison St,casual,5260,18.573574144486692,1261,1
Clybourn Ave & Division St,member,5217,10.144719187272377,816,1
Ravenswood Ave & Lawrence Ave,casual,5215,15.218600191754554,1331,1
Emerald Ave & 31st St,member,5182,10.548822848321112,384,1
Ellis Ave & 55th St,casual,5163,10.764090644973848,1029,1
Sedgwick St & North Ave,casual,5159,17.8241907346385,1414,1
Fairbanks St & Superior St,member,5142,13.346168805912098,960,1
Ashland Ave & Wellington Ave,member,5131,10.648411615669458,699,1
Hermitage Ave & Polk St,member,5109,11.173027989821881,1391,1
Dearborn St & Monroe St,casual,5102,21.938847510780089,1328,1
Clinton St & Roosevelt Rd,member,5100,11.304509803921569,769,1
Broadway & Sheridan Rd,casual,5091,16.750933019053232,882,1
Field Blvd & South Water St,casual,5090,29.808644400785859,1260,1
State St & Kinzie St,casual,5077,27.056923379948788,1392,1
Clark St & North Ave,casual,5055,26.504648862512369,1243,1
Ashland Ave & Grace St,member,5037,11.518562636489975,1389,1
Clark St & Lake St,casual,5021,27.144194383588925,1418,1
State St & Harrison St,member,5010,12.17624750499002,925,1
Sedgwick St & Webster Ave,casual,4986,16.956478138788608,1281,1
Wabash Ave & 9th St,casual,4955,23.413118062563065,1314,1
Kimbark Ave & 53rd St,casual,4944,16.083333333333332,1310,1
Clark St & Montrose Ave,member,4939,10.626645069852197,746,1
Leavitt St & North Ave,member,4935,11.712664640324215,994,1
California Ave & Milwaukee Ave,casual,4926,15.095412099066179,1202,1
Wood St & Augusta Blvd,member,4911,12.286092445530443,270,1
McCormick Place,casual,4902,32.714606283149728,1389,1
Shedd Aquarium,member,4863,18.468435122352453,998,1
Adler Planetarium,member,4857,21.109326744904273,381,1
Elizabeth St & Fulton St,member,4854,10.337659662134323,930,1
Clinton St & Lake St,casual,4841,14.580665151828134,1165,1
Walsh Park,member,4827,13.385125336648022,407,1
Loomis St & Jackson Blvd,member,4823,10.980510055981751,401,1
Southport Ave & Wellington Ave,casual,4818,14.595267745952681,1416,1
Cornell Ave & Hyde Park Blvd,member,4813,15.02659463951797,631,1
Broadway & Thorndale Ave,member,4773,14.358684265661006,699,1
Larrabee St & Kingsbury St,casual,4711,12.993419656123965,1297,1
Ada St & Washington Blvd,member,4709,10.315141218942452,1331,1
Lincoln Ave & Roscoe St*,member,4709,12.058186451475896,918,1
Kingsbury St & Erie St,casual,4689,12.769886969503091,1158,1
Lincoln Ave & Diversey Pkwy,casual,4686,13.345283824157065,1322,1
Sheridan Rd & Argyle St,member,4665,12.668381564844587,335,1
Michigan Ave & Pearson St,casual,4601,34.170397739621826,1335,1
Shore Dr & 55th St,casual,4578,37.455002184359984,1428,1
Calumet Ave & 18th St,member,4578,15.403014416775884,972,1
